"Source:","C:\Users\sylvain\Documents\dev\trublion\bab_v2\cad\instru_bab_v2.sch"
"Date:","15/11/2019 17:58:31"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","148"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C201","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C202","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C203","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C204","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C205","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C206","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C207","10u","Device:CP","Capacitors_SMD:CP_Elec_4x4.5",""
"","","C208","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C209","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C210","220n","Device:C","Capacitors_SMD:C_0805",""
"","","C211","220p","Device:C","Capacitors_SMD:C_0603",""
"","","C212","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C213","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C214","220p","Device:C","Capacitors_SMD:C_0603",""
"","","C215","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C216","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C217","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C218","220p","Device:C","Capacitors_SMD:C_0603",""
"","","C220","1u","Device:C","Capacitors_SMD:C_1206",""
"","","C221","6u8","Device:CP","Capacitors_SMD:CP_Elec_4x4.5",""
"","","C301","10n","Device:C","Capacitors_SMD:C_0603",""
"","","C302","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C303","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C401","10u","Device:CP","Capacitors_SMD:CP_Elec_4x4.5",""
"","","C402","1n","Device:C","Capacitors_SMD:C_0603",""
"","","C403","10n","Device:C","Capacitors_SMD:C_0603",""
"","","C404","33u 35V","Device:CP","Capacitors_SMD:CP_Elec_6.3x5.3",""
"","","C405","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C406","220u 35V","Device:CP","Capacitors_SMD:CP_Elec_8x10",""
"","","C407","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C408","100n","Device:C","Capacitors_SMD:C_0603",""
"","","C409","33u 35V","Device:CP","Capacitors_SMD:CP_Elec_6.3x5.3",""
"","","C410","33u 35V","Device:CP","Capacitors_SMD:CP_Elec_6.3x5.3",""
"","","C411","220n","Device:C","Capacitors_SMD:C_0805",""
"","","C412","220n","Device:C","Capacitors_SMD:C_0805",""
"","","C413","220u 35V","Device:CP","Capacitors_SMD:CP_Elec_8x10",""
"","","C414","220u 35V","Device:CP","Capacitors_SMD:CP_Elec_8x10",""
"","","C415","220u 35V","Device:CP","Capacitors_SMD:CP_Elec_8x10",""
"","","D101","LED_POWER","Device:LED","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","D102","LED_SIGNAL","Device:LED","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","D103","BAS21","instru_bab_v2-rescue:BAS21","TO_SOT_Packages_SMD:SOT-23",""
"","","D201","BAS21","instru_bab_v2-rescue:BAS21","TO_SOT_Packages_SMD:SOT-23",""
"","","D301","BAV23S","Device:D_x2_Serial_AKC","TO_SOT_Packages_SMD:SOT-23",""
"","","D302","BAV23S","Device:D_x2_Serial_AKC","TO_SOT_Packages_SMD:SOT-23",""
"","","D401","BAS21","instru_bab_v2-rescue:BAS21","TO_SOT_Packages_SMD:SOT-23",""
"","","D402","BAS21","instru_bab_v2-rescue:BAS21","TO_SOT_Packages_SMD:SOT-23",""
"","","D403","BAT54A","instru_bab_v2-rescue:BAT54A","TO_SOT_Packages_SMD:SOT-23",""
"","","D404","BZX84","instru_bab_v2-rescue:BZX84","TO_SOT_Packages_SMD:SOT-23",""
"","","IC401","TL431","instru_bab_v2-rescue:TL431","TO_SOT_Packages_SMD:SOT-23",""
"","","J101","L712RA","instru_bab_v2-rescue:L712RA","flax_lib:L712RA_2.5mm",""
"","","J102","AUDIO_IN","instru_bab_v2-rescue:COMBO_XLR_JACK_9pins","flax_lib:NEUTRIK_NCJ9FI-V",""
"","","J103","L712RA","instru_bab_v2-rescue:L712RA","flax_lib:L712RA_2.5mm",""
"","","J104","REAN_RJ3VM","instru_bab_v2-rescue:REAN_RJ3VM","flax_lib:REAN_RJ3VM",""
"","","J105","AUDIO_BYPASS_XLR","instru_bab_v2-rescue:XLR3-conn","flax_lib:NC3MAAV-0",""
"","","J106","CONN_LEDS_B","instru_bab_v2-rescue:CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"","","J107","CONN_SW_B","instru_bab_v2-rescue:CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"","","J108","PAD CONNB","instru_bab_v2-rescue:Conn_02x03_Odd_Even-conn","flax_lib:Multicomp_sub-miniature_DPDT",""
"","","J109","CONN_01X09","instru_bab_v2-rescue:CONN_01X09","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm",""
"","","J110","GAIN POT","instru_bab_v2-rescue:Conn_01x03-conn","flax_lib:ALPS_RK09L",""
"","","J111","THRESHOLD POT","instru_bab_v2-rescue:Conn_01x03-conn","flax_lib:ALPS_RK09L",""
"","","J112","CONN_02X02","instru_bab_v2-rescue:CONN_02X02","Pin_Headers:Pin_Header_Straight_2x02_Pitch2.54mm",""
"","","J113","CONN_01X09","instru_bab_v2-rescue:CONN_01X09","Pin_Headers:Pin_Header_Straight_1x09_Pitch2.54mm",""
"","","J114","CONN_LEDS_A","instru_bab_v2-rescue:CONN_01X06","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"","","J115","MIN POT","instru_bab_v2-rescue:Conn_01x03-conn","flax_lib:ALPS_RK09L",""
"","","J201","PAD -20dB CONNA","instru_bab_v2-rescue:CONN_02X03","Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm",""
"","","L401","100u 3A","Device:L","flax_lib:Inductor_Coilcraft_MSS1210",""
"","","N101","net_tie","instru_bab_v2-rescue:net_tie","flax_lib:net_tie_0.5mm_long",""
"","","N102","net_tie","instru_bab_v2-rescue:net_tie","flax_lib:net_tie_0.5mm_long",""
"","","N401","net_tie","instru_bab_v2-rescue:net_tie","flax_lib:net_tie_0.5mm_long",""
"","","N402","net_tie","instru_bab_v2-rescue:net_tie","flax_lib:net_tie_0.5mm_long",""
"","","N403","net_tie","instru_bab_v2-rescue:net_tie","flax_lib:net_tie_0.5mm_long",""
"","","N404","net_tie","instru_bab_v2-rescue:net_tie","flax_lib:net_tie_0.5mm_long",""
"","","Q101","PDTA123YT","instru_bab_v2-rescue:PDTA123YT","TO_SOT_Packages_SMD:SOT-23",""
"","","Q201","Q_NPN_BEC","Device:Q_NPN_BEC","TO_SOT_Packages_SMD:SOT-23",""
"","","Q301","DTC114E","instru_bab_v2-rescue:DTC114E-transistors","TO_SOT_Packages_SMD:SOT-23",""
"","","Q302","DTA114E","instru_bab_v2-rescue:DTA114E-transistors","TO_SOT_Packages_SMD:SOT-23",""
"","","Q303","DTA114E","instru_bab_v2-rescue:DTA114E-transistors","TO_SOT_Packages_SMD:SOT-23",""
"","","Q401","IRFR5305","Device:Q_PMOS_GDSD","TO_SOT_Packages_SMD:TO-252-3_TabPin4",""
"","","R101","330","Device:R","Resistors_SMD:R_0805",""
"","","R102","0","Device:R","Resistors_SMD:R_0603",""
"","","R103","0","Device:R","Resistors_SMD:R_0603",""
"","","R104","1k","Device:R","Resistors_SMD:R_0603",""
"","","R105","1k","Device:R","Resistors_SMD:R_0603",""
"","","R106","330","Device:R","Resistors_SMD:R_0805",""
"","","R201","1M","Device:R","Resistors_SMD:R_0603",""
"","","R202","1M","Device:R","Resistors_SMD:R_0603",""
"","","R203","1k","Device:R","Resistors_SMD:R_0603",""
"","","R204","1k","Device:R","Resistors_SMD:R_0603",""
"","","R205","22k","Device:R","Resistors_SMD:R_0603",""
"","","R206","1k","Device:R","Resistors_SMD:R_0603",""
"","","R207","1M","Device:R","Resistors_SMD:R_0603",""
"","","R208","1k","Device:R","Resistors_SMD:R_0603",""
"","","R209","1k","Device:R","Resistors_SMD:R_0603",""
"","","R210","10k","Device:R","Resistors_SMD:R_0603",""
"","","R211","1k","Device:R","Resistors_SMD:R_0603",""
"","","R212","1k","Device:R","Resistors_SMD:R_0603",""
"","","R213","1M","Device:R","Resistors_SMD:R_0603",""
"","","R214","10k","Device:R","Resistors_SMD:R_0603",""
"","","R215","4k7","Device:R","Resistors_SMD:R_0603",""
"","","R216","10k","Device:R","Resistors_SMD:R_0603",""
"","","R217","10k","Device:R","Resistors_SMD:R_0603",""
"","","R218","1M","Device:R","Resistors_SMD:R_0603",""
"","","R219","0","Device:R","Resistors_SMD:R_0603",""
"","","R220","100k","Device:R","Resistors_SMD:R_0603",""
"","","R221","0","Device:R","Resistors_SMD:R_0603",""
"","","R222","47k","Device:R","Resistors_SMD:R_0603",""
"","","R223","1k","Device:R","Resistors_SMD:R_0603",""
"","","R224","1k","Device:R","Resistors_SMD:R_0603",""
"","","R225","47k","Device:R","Resistors_SMD:R_0603",""
"","","R226","1k","Device:R","Resistors_SMD:R_0603",""
"","","R227","10k","Device:R","Resistors_SMD:R_0603",""
"","","R301","47k","Device:R","Resistors_SMD:R_0603",""
"","","R302","33k","Device:R","Resistors_SMD:R_0603",""
"","","R303","3k3","Device:R","Resistors_SMD:R_0603",""
"","","R304","4k7","Device:R","Resistors_SMD:R_0603",""
"","","R305","100k","Device:R","Resistors_SMD:R_0603",""
"","","R306","47k","Device:R","Resistors_SMD:R_0603",""
"","","R307","10k","Device:R","Resistors_SMD:R_0603",""
"","","R308","47k","Device:R","Resistors_SMD:R_0603",""
"","","R309","100","Device:R","Resistors_SMD:R_0603",""
"","","R310","100","Device:R","Resistors_SMD:R_0603",""
"","","R311","100k","Device:R","Resistors_SMD:R_0603",""
"","","R401","10k","Device:R","Resistors_SMD:R_0603",""
"","","R402","10k","Device:R","Resistors_SMD:R_0603",""
"","","R403","4k7","Device:R","Resistors_SMD:R_0603",""
"","","R404","10k","Device:R","Resistors_SMD:R_0603",""
"","","R405","10k","Device:R","Resistors_SMD:R_0603",""
"","","R406","10k","Device:R","Resistors_SMD:R_0603",""
"","","R407","100k","Device:R","Resistors_SMD:R_0603",""
"","","R408","1k","Device:R","Resistors_SMD:R_0603",""
"","","R409","100k","Device:R","Resistors_SMD:R_0603",""
"","","R410","1k","Device:R","Resistors_SMD:R_0603",""
"","","R411","1k","Device:R","Resistors_SMD:R_0603",""
"","","R412","10m","Device:R","Resistors_SMD:R_2512",""
"","","R413","10k","Device:R","Resistors_SMD:R_0603",""
"","","R414","1","Device:R","Resistors_SMD:R_1206",""
"","","R415","1","Device:R","Resistors_SMD:R_2512",""
"","","R416","1","Device:R","Resistors_SMD:R_2512",""
"","","R417","1","Device:R","Resistors_SMD:R_2512",""
"","","R418","10k","Device:R","Resistors_SMD:R_0603",""
"","","R419","10k","Device:R","Resistors_SMD:R_0603",""
"","","U201","TL072","instru_bab_v2-rescue:TL072-linear","SMD_Packages:SOIC-8-N",""
"","","U202","LM1458","instru_bab_v2-rescue:LM1458","SMD_Packages:SOIC-8-N",""
"","","U203","TL072","instru_bab_v2-rescue:TL072-linear","SMD_Packages:SOIC-8-N",""
"","","U301","LM2903","instru_bab_v2-rescue:LM2903-linear","SMD_Packages:SOIC-8-N",""
"","","U302","LM2903","instru_bab_v2-rescue:LM2903-linear","SMD_Packages:SOIC-8-N",""
"","","U401","LM2902","instru_bab_v2-rescue:LM2902-linear","SMD_Packages:SOIC-14_N",""
"","","U402","BTN8980TA","instru_bab_v2-rescue:BTN8980TA","TO_SOT_Packages_SMD:TO-263-7_TabPin8",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","10","C201, C202, C203, C205, C206, C208, C212, C216, C217, C220","1u","Device:C","Capacitors_SMD:C_1206",""
